,-FASTWEB-B46191,room,-TIM-31632150,-Vodafone-A87551308,-FASTWEB-1-KqaCbNB8gxDV,-central perk,-iliadbox-6119A6_5Ghz,-Marchello,-SKY1D90F,-TISCALI5G-D7C773,-iliadbox-6119A6_2.4Ghz,-IBZ Docenti,-IBZ Segreteria,-IBZ Studenti,-HP-Print-1F-ENVY 5530 series,-Vodafone-A58823512,-TIM-19440709,-Wind3 HUB-EEFC21,-TISCALI-D7C76B,-Repeater,-Wind3 HUB - 1A3EF6,-TIM-23299342,-WLAN-VIDEO,-Wind3 HUB-39F023,-FASTWEB-g8Fz9A,-B628_0A03,-Vodafone5GHz-A87551308,-FASTWEB-qmV69t,-wlan-ospiti,-WOW FI - FASTWEB,-Vodafone-C00210182,-TP-Link_0F18,-Vodafone-C02020131_2GEXT,-Vodafone-A56664184,-Vodafone-A52587586,-wlan-parrocchia1,-TP-Link_38E8,-Wind3 HUB-42FF44,-SMARTCAM_16409,-HP-Print-4E-ENVY 4500 series,-RundulinaWifi,-Vodafone-C02130216,-iliadbox-69351B,-FASTWEB-UKTLHA,-IliadGhira,-Vodafone-A43001128,-ShellyPlus2PM-30C92286BD74,-TIM-58406596,-TP-Link_2EF2,-TIM-19440709_EXT,-enel-WiFi_7543A321_EXT,"-Nest Giacomo.ynm,",-InCarHotspot-065701,-Hotspot7742,-FASTWEB-s749jV,-Smartphone_connect_5ac645,-70mai_X200_3e14,-TP-Link_372D,-S23+ di Marco,-ShellyPlus2PM-30C9228656CC,-IBZ Direzione,-N30,-SSID,-Redmi 9,-SMARTCAM_17155,-DIRECT-KE-BRAVIA,-SoundBarSetup_B7C5
10,0.0,flat-mate-1,0.0,34.0,0.0,92.0,26.0,22.0,70.0,0.0,46.0,20.0,14.0,0.0,18.0,60.0,0.0,56.0,0.0,60.0,68.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,flat-mate-1,0.0,36.0,0.0,92.0,28.0,22.0,68.0,0.0,46.0,20.0,14.0,0.0,18.0,58.0,0.0,58.0,0.0,58.0,70.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,flat-mate-1,0.0,36.0,0.0,92.0,28.0,26.0,70.0,0.0,46.0,20.0,14.0,20.0,18.0,58.0,0.0,56.0,0.0,58.0,70.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,flat-mate-1,0.0,36.0,0.0,92.0,26.0,22.0,68.0,0.0,46.0,20.0,14.0,20.0,18.0,60.0,0.0,56.0,0.0,60.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,flat-mate-1,0.0,32.0,0.0,92.0,26.0,24.0,68.0,0.0,46.0,20.0,14.0,20.0,0.0,58.0,0.0,58.0,0.0,60.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,flat-mate-1,0.0,30.0,0.0,92.0,24.0,24.0,68.0,0.0,46.0,0.0,14.0,20.0,0.0,58.0,0.0,58.0,0.0,60.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,flat-mate-1,0.0,30.0,0.0,92.0,26.0,24.0,70.0,0.0,46.0,0.0,14.0,20.0,0.0,58.0,0.0,58.0,0.0,58.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,flat-mate-1,0.0,32.0,0.0,92.0,26.0,24.0,70.0,0.0,46.0,0.0,22.0,20.0,0.0,62.0,0.0,56.0,0.0,58.0,70.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,flat-mate-1,0.0,34.0,0.0,92.0,28.0,24.0,68.0,0.0,42.0,0.0,22.0,20.0,0.0,62.0,0.0,54.0,0.0,56.0,70.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,flat-mate-1,0.0,30.0,0.0,92.0,28.0,24.0,68.0,0.0,42.0,18.0,22.0,20.0,0.0,62.0,0.0,58.0,0.0,60.0,68.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,flat-mate-1,0.0,30.0,0.0,94.0,28.0,24.0,68.0,0.0,42.0,18.0,22.0,20.0,0.0,62.0,0.0,54.0,0.0,60.0,68.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,flat-mate-1,0.0,36.0,0.0,92.0,26.0,24.0,68.0,0.0,42.0,18.0,22.0,24.0,0.0,62.0,0.0,56.0,0.0,58.0,70.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,flat-mate-1,0.0,32.0,0.0,88.0,26.0,22.0,68.0,0.0,42.0,18.0,22.0,24.0,0.0,60.0,0.0,56.0,0.0,58.0,70.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,flat-mate-1,0.0,32.0,0.0,90.0,26.0,22.0,62.0,0.0,40.0,18.0,22.0,24.0,0.0,60.0,0.0,58.0,0.0,60.0,66.0,10.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,flat-mate-1,0.0,30.0,0.0,90.0,26.0,16.0,64.0,0.0,40.0,18.0,22.0,24.0,0.0,54.0,0.0,62.0,0.0,60.0,70.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,flat-mate-1,0.0,30.0,0.0,94.0,26.0,16.0,64.0,0.0,52.0,18.0,16.0,24.0,0.0,54.0,0.0,60.0,0.0,62.0,68.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,flat-mate-1,0.0,30.0,0.0,94.0,26.0,24.0,68.0,0.0,52.0,18.0,16.0,22.0,12.0,54.0,0.0,58.0,0.0,62.0,68.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,flat-mate-1,0.0,34.0,0.0,94.0,26.0,26.0,68.0,0.0,52.0,18.0,22.0,22.0,12.0,54.0,0.0,58.0,0.0,58.0,68.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,flat-mate-1,0.0,34.0,0.0,94.0,26.0,24.0,68.0,0.0,52.0,18.0,16.0,22.0,14.0,58.0,0.0,56.0,0.0,58.0,68.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,flat-mate-1,0.0,36.0,0.0,94.0,28.0,24.0,68.0,0.0,42.0,18.0,16.0,22.0,14.0,58.0,0.0,56.0,0.0,58.0,68.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,flat-mate-1,0.0,36.0,0.0,90.0,28.0,24.0,68.0,0.0,42.0,14.0,16.0,22.0,14.0,60.0,0.0,58.0,0.0,60.0,68.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,flat-mate-1,0.0,36.0,0.0,88.0,28.0,24.0,62.0,0.0,48.0,14.0,20.0,22.0,14.0,60.0,0.0,54.0,0.0,50.0,66.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,flat-mate-1,0.0,22.0,0.0,90.0,28.0,24.0,60.0,0.0,48.0,14.0,20.0,20.0,16.0,60.0,0.0,46.0,0.0,48.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,flat-mate-1,0.0,22.0,0.0,90.0,28.0,24.0,50.0,0.0,44.0,16.0,20.0,20.0,16.0,50.0,0.0,50.0,0.0,40.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,flat-mate-1,0.0,22.0,0.0,82.0,30.0,20.0,58.0,0.0,50.0,16.0,20.0,20.0,16.0,38.0,0.0,52.0,0.0,46.0,66.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,flat-mate-1,0.0,22.0,0.0,88.0,30.0,18.0,66.0,0.0,40.0,16.0,20.0,20.0,16.0,38.0,0.0,52.0,0.0,42.0,76.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,flat-mate-1,0.0,24.0,0.0,88.0,30.0,22.0,64.0,0.0,40.0,16.0,20.0,20.0,16.0,52.0,0.0,46.0,0.0,46.0,64.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,flat-mate-1,0.0,24.0,0.0,82.0,22.0,22.0,66.0,0.0,36.0,16.0,20.0,20.0,16.0,52.0,0.0,44.0,0.0,44.0,64.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,flat-mate-1,0.0,24.0,0.0,90.0,22.0,22.0,60.0,0.0,44.0,24.0,20.0,20.0,16.0,54.0,0.0,54.0,0.0,48.0,72.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,flat-mate-1,0.0,36.0,0.0,88.0,22.0,22.0,66.0,0.0,44.0,24.0,0.0,20.0,16.0,54.0,0.0,66.0,0.0,58.0,68.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,flat-mate-1,0.0,32.0,0.0,92.0,28.0,22.0,66.0,0.0,44.0,24.0,22.0,20.0,16.0,54.0,0.0,68.0,0.0,54.0,72.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,flat-mate-1,0.0,36.0,0.0,90.0,30.0,26.0,64.0,0.0,42.0,24.0,22.0,20.0,20.0,64.0,0.0,70.0,0.0,56.0,72.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,flat-mate-1,0.0,36.0,0.0,90.0,30.0,26.0,68.0,0.0,42.0,24.0,22.0,20.0,20.0,64.0,0.0,72.0,0.0,60.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,flat-mate-1,0.0,36.0,0.0,90.0,30.0,26.0,70.0,0.0,42.0,24.0,22.0,20.0,14.0,64.0,0.0,72.0,0.0,60.0,72.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,flat-mate-1,0.0,36.0,20.0,90.0,32.0,26.0,58.0,0.0,36.0,24.0,22.0,22.0,14.0,60.0,0.0,72.0,0.0,60.0,72.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
